Siddhant Arora,2
Srikanta Bedathur,2
Francesco Belardinelli,2
Umberto Grandi,2
Rajesh Bordawekar,3
Oded Shmueli,2
Jérôme Darmont,20
Andrea Detti,3
Giulio Rossi,3
Nicola Blefari Melazzi,3
Ashish Sureka,2
Michele Orru,2
Riccardo Paolillo,2
Arash Termehchy,4
Martin Grohe,12
Peter Lindner,6
Tianxi Ji,2
Emre Yilmaz,2
Erman Ayday,3
Pan Li,2
Marco Montali,7
Andrey Rivkin,6
Hung Q. Ngo,12
Benny Kimelfeld,15
Dan Olteanu,14
Rudi Horn,2
James Cheney,6
XuanLong Nguyen,6
Maximilian Schleich,7
Jeremy Kepner,12
Vijay Gadepally,13
Dylan Hutchison,7
Hayden Jananthan,2
Mahmoud Abo Khamis,8
Boris Glavic,5
Gongsheng Yuan,3
Jiaheng Lu,6
Dietmar Seipel,3
Bortik Bandyopadhyay,2
Mashel Albarak,2
Rami Bahsoon,2
Witold Litwin,2
Alireza Samadian,4
Kirk Pruhs,4
H. V. Jagadish,6
Ahmet Kara,4
Milos Nikolic,4
Haozhe Zhang,4
Hoang Thanh Lam,2
Mathieu Sinn,2
Sudeepa Roy,7
Albert Atserias,3
Phokion G. Kolaitis,4
József Marton,2
Gábor Szárnyas,3
Dániel Varró,2
Jose Picado,2
Guy Van den Broeck,2
Alexandru Boicea,2
Hannes Mühleisen,2
Chen Yuan,4
Guangyi Liu,5
Renchang Dai,5
Zhiwei Wang,3
Florin Rusu,4
Luigi Santocanale,3
Richard Shin,2
Oleksandr Polozov,2
Matthew Richardson,2
Diego Calvanese,6
Amarnath Gupta,2
Alvin Cheung,3
Dan Suciu,14
Vivek Shah,3
Marcos Antonio Vaz Salles,2
Robert E. Kent,3
Katerina Papaioannou,2
Martin Theobald,5
Michael Böhlen,2
Benjamin Moseley,4
Isil Dillig,6
Leopoldo Bertossi,15
Richa Singh,8
Mayank Vatsa,8
Afzel Noore,4
Shaleen Deep,5
Paraschos Koutris,9
Michael H. Böhlen,2
Aythami Morales,5
Julian Fierrez,7
Weishu Liu,2
Christian Hill,2
Nicole Schweikardt,5
Feng Wang,2
Hui Deng,2
Yingbo Liu,2
Samuel Madden,9
Michele Ceriotti,2
Gang Chen,7
Beng Chin Ooi,7
Lee Friedman,2
Serhad Sarica,2
Jianxi Luo,2
Renzo Angles,4
Babak Salimi,6
Jie Li,2
Jan Van den Bussche,4
Junhao Wang,2
Marcelo Arenas,3
Pablo Barceló,3
Mikaël Monet,3
Behzad Hasani,3
Mohammad H. Mahoor,3
Gonzalo Navarro,3
Juan L. Reutter,3
Antoine Amarilli,6
Daniel Deutch,4
Pierre Senellart,3
Jens Lehmann,3
Anton Dignös,2
Benjamin Hilprecht,3
Carsten Binnig,6
Amir Shaikhha,3
Liat Peterfreund,5
Konstantinos Xirogiannopoulos,2
Amol Deshpande,2
Ester Livshits,3
Yuepeng Wang,3
Pingcheng Ruan,3
Kian-Lee Tan,4
Meihui Zhang,7
Aaron Elmore,5
Caiming Xiong,3
Richard Socher,3
Christoph Berkholz,3
Jens Keppeler,3
Gustavo Alonso,5
Nicu Sebe,4
Thiago M. Paixão,2
Alberto F. De Souza,2
Claudine Badue,2
Thiago Oliveira-Santos,3
Akshay Agarwal,4
Flavio Ferrarotti,4
Loredana Tec,2
Xiao Hu,2
Isolde Adler,2
Polly Fahey,2
Zeinab Bahmani,2
Martin Kersten,2
Cristian Riveros,4
Guohui Xiao,4
Benjamin Cogrel,2
Elena Botoeva,2
George Konstantinidis,2
Paul Groth,4
Batya Kenig,3
Kaan Kara,2
Silvio Ghilardi,3
Alessandro Gianola,3
Meghyn Bienvenu,3
Ruben Tolosana,3
Xi Victoria Lin,3
Zhengjie Miao,2
Tao Yu,2
Rui Zhang,2
Jiantao Wu,3
Fabrizio Orlandi,3
Declan O'Sullivan,3
Soumyabrata Dev,3
Zibo Meng,2
Shizhong Han,2
Yan Tong,2
Alexandra Meliou,6
Julia Stoyanovich,3
Pavlos Fafalios,2
Kostas Petrakis,2
Yannis Tzitzikas,2
Martin Doerr,2
Hongzhi Wang,5
Mostafa Milani,2
Giacomo Kahn,2
Alexandre Bazin,2
Arnaud Durand,2
Lei Gai,2
